"trigram","n","start","end"
"ive realli enjoy",2,"ive realli","enjoy"
"ive tri find",2,"ive tri","find"
"jean rhys girl",2,"jean rhys","girl"
"jersey citi polic",2,"jersey citi","polic"
"jj oud geuz",2,"jj oud","geuz"
"job bill money",2,"job bill","money"
"job last month",2,"job last","month"
"john grand nation",2,"john grand","nation"
"jordan eli kick",2,"jordan eli","kick"
"journal health affair",2,"journal health","affair"
"joy happi happi",2,"joy happi","happi"
"judici system serv",2,"judici system","serv"
"juli u mid",2,"juli u","mid"
"jump feet inch",2,"jump feet","inch"
"june u u",2,"june u","u"
"just came across",2,"just came","across"
"just cant let",2,"just cant","let"
"just dont feel",2,"just dont","feel"
"just hate ppl",2,"just hate","ppl"
"just high school",2,"just high","school"
"just keep go",2,"just keep","go"
"just last week",2,"just last","week"
"just like everi",2,"just like","everi"
"just like im",2,"just like","im"
"just make sure",2,"just make","sure"
"just need read",2,"just need","read"
"just said im",2,"just said","im"
"just sit around",2,"just sit","around"
"just think also",2,"just think","also"
"just three hour",2,"just three","hour"
"just want get",2,"just want","get"
"just want someth",2,"just want","someth"
"just want think",2,"just want","think"
"keep come back",2,"keep come","back"
"keep good work",2,"keep good","work"
"keep open mind",2,"keep open","mind"
"keisha cole mom",2,"keisha cole","mom"
"kennywood west mifflin",2,"kennywood west","mifflin"
"kick g gentri",2,"kick g","gentri"
"kinder farm park",2,"kinder farm","park"
"knock em dead",2,"knock em","dead"
"know break news",2,"know break","news"
"know im talk",2,"know im","talk"
"know know im",2,"know know","im"
"know other dont",2,"know other","dont"
"know u r",2,"know u","r"
"krampus legend art",2,"krampus legend","art"
"l shelton yearold",2,"l shelton","yearold"
"ladi act like",2,"ladi act","like"
"lake saint loui",2,"lake saint","loui"
"laker first point",2,"laker first","point"
"lambiek year old",2,"lambiek year","old"
"larg number peopl",2,"larg number","peopl"
"larg parti eat",2,"larg parti","eat"
"last coupl week",2,"last coupl","week"
"last five year",2,"last five","year"
"last night game",2,"last night","game"
"last night got",2,"last night","got"
"last night shoot",2,"last night","shoot"
"last night thank",2,"last night","thank"
"last season now",2,"last season","now"
"last two year",2,"last two","year"
"last week report",2,"last week","report"
"last year first",2,"last year","first"
"last year sf",2,"last year","sf"
"late night walk",2,"late night","walk"
"ldl level mgdl",2,"ldl level","mgdl"
"leagu pate fountain",2,"leagu pate","fountain"
"least six month",2,"least six","month"
"left turn lane",2,"left turn","lane"
"legend art workshop",2,"legend art","workshop"
"lego star war",2,"lego star","war"
"lemonad stand kit",2,"lemonad stand","kit"
"less two year",2,"less two","year"
"let get rt",2,"let get","rt"
"let just say",2,"let just","say"
"let know can",2,"let know","can"
"let know think",2,"let know","think"
"life can chang",2,"life can","chang"
"life right now",2,"life right","now"
"life skill center",2,"life skill","center"
"light one like",2,"light one","like"
"like everyon els",2,"like everyon","els"
"like everyth els",2,"like everyth","els"
"like exist adult",2,"like exist","adult"
"like right way",2,"like right","way"
"like see us",2,"like see","us"
"line parchment paper",2,"line parchment","paper"
"list thing need",2,"list thing","need"
"littl bit time",2,"littl bit","time"
"littl stage puppet",2,"littl stage","puppet"
"live way want",2,"live way","want"
"local law enforc",2,"local law","enforc"
"locat locat locat",2,"locat locat","locat"
"long ago kept",2,"long ago","kept"
"long ago stay",2,"long ago","stay"
"long black hair",2,"long black","hair"
"long long time",2,"long long","time"
"long time now",2,"long time","now"
"look back now",2,"look back","now"
"look forward kid",2,"look forward","kid"
"look forward read",2,"look forward","read"
"look forward see",2,"look forward","see"
"look forward tomorrow",2,"look forward","tomorrow"
"look just like",2,"look just","like"
"look like just",2,"look like","just"
"los angel counti",2,"los angel","counti"
"lose belli fat",2,"lose belli","fat"
"lost half pound",2,"lost half","pound"
"lost love one",2,"lost love","one"
"lost percent nasdaq",2,"lost percent","nasdaq"
"love just hope",2,"love just","hope"
"love love love",2,"love love","love"
"love love sound",2,"love love","sound"
"love sit chat",2,"love sit","chat"
"low fat diet",2,"low fat","diet"
"lower rack plate",2,"lower rack","plate"
"lowfat plantbas diet",2,"lowfat plantbas","diet"
"luther king jr",2,"luther king","jr"
"m last weekend",2,"m last","weekend"
"m make gross",2,"m make","gross"
"m sign bonus",2,"m sign","bonus"
"made seem like",2,"made seem","like"
"magic creatur book",2,"magic creatur","book"
"major trophi everi",2,"major trophi","everi"
"make amount money",2,"make amount","money"
"make come aliv",2,"make come","aliv"
"make gross m",2,"make gross","m"
"make health care",2,"make health","care"
"make look like",2,"make look","like"
"make million dollar",2,"make million","dollar"
"make money money",2,"make money","money"
"make one wonder",2,"make one","wonder"
"make perfect gift",2,"make perfect","gift"
"make situat wors",2,"make situat","wors"
"make sure check",2,"make sure","check"
"make sure follow",2,"make sure","follow"
"make sure get",2,"make sure","get"
"make us laugh",2,"make us","laugh"
"man cite disord",2,"man cite","disord"
"man youv got",2,"man youv","got"
"manag manni acta",2,"manag manni","acta"
"mani differ way",2,"mani differ","way"
"mark first time",2,"mark first","time"
"mark th anniversari",2,"mark th","anniversari"
"market park lot",2,"market park","lot"
"market share time",2,"market share","time"
"marketwatch press releas",2,"marketwatch press","releas"
"maryland stadium author",2,"maryland stadium","author"
"maryland state board",2,"maryland state","board"
"master plan updat",2,"master plan","updat"
"matter hard tri",2,"matter hard","tri"
"matter whether win",2,"matter whether","win"
"may look like",2,"may look","like"
"may u u",2,"may u","u"
"mayb one day",2,"mayb one","day"
"mean take time",2,"mean take","time"
"mega million jackpot",2,"mega million","jackpot"
"member us militari",2,"member us","militari"
"mental health issu",2,"mental health","issu"
"microwav safe bowlcook",2,"microwav safe","bowlcook"
"might come handi",2,"might come","handi"
"million bond propos",2,"million bond","propos"
"million cent share",2,"million cent","share"
"million dollar year",2,"million dollar","year"
"million euro million",2,"million euro","million"
"million euro rm",2,"million euro","rm"
"million feder money",2,"million feder","money"
"million first quarter",2,"million first","quarter"
"million first year",2,"million first","year"
"minc fine add",2,"minc fine","add"
"minist benjamin netanyahu",2,"minist benjamin","netanyahu"
"minut golden brown",2,"minut golden","brown"
"minut second left",2,"minut second","left"
"miss famili much",2,"miss famili","much"
"missil defens system",2,"missil defens","system"
"mmfcl c jpmorgan",2,"mmfcl c","jpmorgan"
"mmfcl d r",2,"mmfcl d","r"
"mmfinv r h",2,"mmfinv r","h"
