"yearold",95,"yearold","yearold"
"april",94,"april","april"
"board",94,"board","board"
"featur",94,"featur","featur"
"green",94,"green","green"
"perform",94,"perform","perform"
"resid",94,"resid","resid"
"within",94,"within","within"
"wrong",94,"wrong","wrong"
"although",93,"although","although"
"answer",93,"answer","answer"
"author",93,"author","author"
"bed",93,"bed","bed"
"dog",93,"dog","dog"
"fan",93,"fan","fan"
"obama",93,"obama","obama"
"prepar",93,"prepar","prepar"
"rate",93,"rate","rate"
"wear",93,"wear","wear"
"depart",92,"depart","depart"
"form",92,"form","form"
"march",92,"march","march"
"opportun",92,"opportun","opportun"
"serious",92,"serious","serious"
"wish",92,"wish","wish"
"among",91,"among","among"
"benefit",91,"benefit","benefit"
"chanc",91,"chanc","chanc"
"goal",91,"goal","goal"
"hot",91,"hot","hot"
"remain",91,"remain","remain"
"trip",91,"trip","trip"
"bank",90,"bank","bank"
"bodi",90,"bodi","bodi"
"child",90,"child","child"
"cook",90,"cook","cook"
"either",90,"either","either"
"gave",90,"gave","gave"
"human",90,"human","human"
"rest",90,"rest","rest"
"score",90,"score","score"
"step",90,"step","step"
"suggest",90,"suggest","suggest"
"surpris",90,"surpris","surpris"
"control",89,"control","control"
"process",89,"process","process"
"tomorrow",89,"tomorrow","tomorrow"
"activ",88,"activ","activ"
"director",88,"director","director"
"figur",88,"figur","figur"
"futur",88,"futur","futur"
"shot",88,"shot","shot"
"store",88,"store","store"
"twitter",88,"twitter","twitter"
"unit",88,"unit","unit"
"daughter",87,"daughter","daughter"
"decis",87,"decis","decis"
"dream",87,"dream","dream"
"dress",87,"dress","dress"
"fight",87,"fight","fight"
"sale",87,"sale","sale"
"act",86,"act","act"
"brother",86,"brother","brother"
"connect",86,"connect","connect"
"death",86,"death","death"
"defens",86,"defens","defens"
"educ",86,"educ","educ"
"hate",86,"hate","hate"
"listen",86,"listen","listen"
"mom",86,"mom","mom"
"moment",86,"moment","moment"
"quick",86,"quick","quick"
"star",86,"star","star"
"strong",86,"strong","strong"
"valu",86,"valu","valu"
"brown",85,"brown","brown"
"confer",85,"confer","confer"
"drop",85,"drop","drop"
"piec",85,"piec","piec"
"rock",85,"rock","rock"
"secur",85,"secur","secur"
"send",85,"send","send"
"claim",84,"claim","claim"
"door",84,"door","door"
"guess",84,"guess","guess"
"id",84,"id","id"
"taken",84,"taken","taken"
"wasnt",84,"wasnt","wasnt"
"heard",83,"heard","heard"
"heat",83,"heat","heat"
"imag",83,"imag","imag"
"kill",83,"kill","kill"
"outsid",83,"outsid","outsid"
"respons",83,"respons","respons"
"spring",83,"spring","spring"
"agre",82,"agre","agre"
"ball",82,"ball","ball"
"loss",82,"loss","loss"
"north",82,"north","north"
"oper",82,"oper","oper"
"rather",82,"rather","rather"
"shop",82,"shop","shop"
"six",82,"six","six"
"toward",82,"toward","toward"
"usual",82,"usual","usual"
"air",81,"air","air"
"origin",81,"origin","origin"
"relat",81,"relat","relat"
"speak",81,"speak","speak"
"view",81,"view","view"
"collect",80,"collect","collect"
"detail",80,"detail","detail"
"feet",80,"feet","feet"
"mention",80,"mention","mention"
"mr",80,"mr","mr"
"oil",80,"oil","oil"
"stuff",80,"stuff","stuff"
"tuesday",80,"tuesday","tuesday"
"bar",79,"bar","bar"
"birthday",79,"birthday","birthday"
"blue",79,"blue","blue"
"especi",79,"especi","especi"
